[dotenv@17.2.3] injecting env (6) from .env.local -- tip: ≡ƒùé∩╕Å backup and recover secrets: https://dotenvx.com/ops
(node:23924) [MONGOOSE] Warning: `isNew` is a reserved schema pathname and may break some functionality. You are allowed to use it, but use at your own risk. To disable this warning pass `suppressReservedKeysWarning` as a schema option.
(Use `node --trace-warnings ...` to show where the warning was created)
Γ£à Connected to MongoDB
Γ£à Updated: "Butter Naan" -> Γé╣30.00
Γ£à Updated: "Jeera Rice" -> Γé╣179.00
Γ£à Updated: "Aachari Chana Pulao" -> Γé╣190.00
Γ£à Updated: "Aaloo Stuff Parotha" -> Γé╣80.00
Γ£à Updated: "Babycorn Chilly" -> Γé╣180.00
Γ£à Updated: "Babycorn Mushroom Chilly" -> Γé╣190.00
Γ£à Updated: "Babycorn Mushroom Patai" -> Γé╣190.00
Γ£à Updated: "Big Chinese Vegetable Trio Soup ( Diabetic Recipe ) 2368" -> Γé╣160.00
Γ£à Updated: "Burnt Garlic Chilly Noodle" -> Γé╣180.00
Γ£à Updated: "Butter Garlic Naan" -> Γé╣35.00
Γ£à Updated: "Butter Garlic Roti" -> Γé╣25.00
Γ£à Updated: "Butter Jeera Naan" -> Γé╣35.00
Γ£à Updated: "Butter Kulcha" -> Γé╣35.00
Γ£à Updated: "Butter Pav" -> Γé╣20.00
Γ£à Updated: "Butter Roti" -> Γé╣20.00
Γ£à Updated: "Caramel Custurd" -> Γé╣100.00
Γ£à Updated: "Chaha Garlic Dry" -> Γé╣190.00
Γ£à Updated: "Cheese Butter Garlic Naan" -> Γé╣50.00
Γ£à Updated: "Cheese Butter Garlic Roti" -> Γé╣40.00
Γ£à Updated: "Cheese Chilly Masala Pav" -> Γé╣180.00
Γ£à Updated: "Cheese Garlic Naan" -> Γé╣45.00
Γ£à Updated: "Cheese Parotha" -> Γé╣90.00
Γ£à Updated: "Chilli Mushroom Recipe" -> Γé╣190.00
Γ£à Updated: "Chinese Bhel" -> Γé╣140.00
Γ£à Updated: "Coffee Panacata" -> Γé╣110.00
Γ£à Updated: "Corn Bhel" -> Γé╣140.00
Γ£à Updated: "Corn Fried Rice" -> Γé╣160.00
Γ£à Updated: "Corn Sz Fried Rice" -> Γé╣170.00
Γ£à Updated: "Cream Of Spinach" -> Γé╣150.00
Γ£à Updated: "Crispy Chilli Baby Corn Recipe In Hindi" -> Γé╣180.00
Γ£à Updated: "Custurd Gulab Jamun" -> Γé╣120.00
Γ£à Updated: "Dal Khichdi With Tadka" -> Γé╣170.00
Γ£à Updated: "Dal Khichdi" -> Γé╣160.00
Γ£à Updated: "Dal Kolhapuri Tadka" -> Γé╣180.00
Γ£à Updated: "Dal Kolhapuri" -> Γé╣170.00
Γ£à Updated: "Dal Makhni" -> Γé╣180.00
Γ£à Updated: "Deggi Mirch Ka Dal Tadka" -> Γé╣170.00
Γ£à Updated: "Double Maska Pav Bhaji" -> Γé╣180.00
Γ£à Updated: "Dragon Paneer" -> Γé╣220.00
Γ£à Updated: "Fulson Dal Khichdi" -> Γé╣180.00
Γ£à Updated: "Gobi 65" -> Γé╣180.00
Γ£à Updated: "Gobi Stuff Parotha" -> Γé╣80.00
Γ£à Updated: "Green Peas Mint Pulao" -> Γé╣170.00
Γ£à Updated: "Green Salad" -> Γé╣100.00
Γ£à Updated: "Hakka Noodles Recipe" -> Γé╣170.00
Γ£à Updated: "Hare Pyaz Lasooni Khichadi" -> Γé╣180.00
Γ£à Updated: "Hariyali Dal Tadka" -> Γé╣170.00
Γ£à Updated: "Home Style Dal Fry" -> Γé╣160.00
Γ£à Updated: "Hong Kong Noodle" -> Γé╣180.00
Γ£à Updated: "Hot Garlic Sauce" -> Γé╣150.00
